symbol,start_time_utc8,end_time_utc8,direction,spike_size_pips,duration_minutes,candle_count,opposing_candles,elbow_type
XAUUSD,2026-01-29 11:26:00+08:00,2026-01-29 11:30:00+08:00,bear,1690.0,5,5,3,Double
XAUUSD,2026-01-29 11:31:00+08:00,2026-01-29 11:37:00+08:00,bull,1362.0,7,7,3,Double
XAUUSD,2026-01-29 11:38:00+08:00,2026-01-29 11:41:00+08:00,bear,3071.0,4,4,3,Double
XAUUSD,2026-01-29 11:42:00+08:00,2026-01-29 11:49:00+08:00,bull,2453.0,8,8,3,Double
XAUUSD,2026-01-29 11:50:00+08:00,2026-01-29 11:55:00+08:00,bull,1492.0,6,6,3,Double
XAUUSD,2026-01-29 11:56:00+08:00,2026-01-29 11:59:00+08:00,bear,2123.0,4,4,3,Double
XAUUSD,2026-01-29 12:00:00+08:00,2026-01-29 12:06:00+08:00,bear,4213.0,7,7,2,Double
XAUUSD,2026-01-29 12:07:00+08:00,2026-01-29 12:14:00+08:00,bull,2844.0,8,8,3,Double
XAUUSD,2026-01-29 12:15:00+08:00,2026-01-29 12:21:00+08:00,bear,1109.0,7,7,2,Double
XAUUSD,2026-01-29 12:22:00+08:00,2026-01-29 12:26:00+08:00,bear,1445.0,5,5,3,Double
XAUUSD,2026-01-29 12:27:00+08:00,2026-01-29 12:32:00+08:00,bear,1777.0,6,6,3,Double
XAUUSD,2026-01-29 12:33:00+08:00,2026-01-29 12:38:00+08:00,bull,1786.0,6,6,3,Double
XAUUSD,2026-01-29 12:39:00+08:00,2026-01-29 12:46:00+08:00,bear,2407.0,8,8,2,Double
XAUUSD,2026-01-29 12:47:00+08:00,2026-01-29 12:53:00+08:00,bull,1280.0,7,7,3,Double
XAUUSD,2026-01-29 12:54:00+08:00,2026-01-29 13:02:00+08:00,bull,1781.0,9,9,3,Double
XAUUSD,2026-01-29 13:03:00+08:00,2026-01-29 13:09:00+08:00,bear,3476.0,7,7,3,Double
XAUUSD,2026-01-29 13:10:00+08:00,2026-01-29 13:19:00+08:00,bull,1836.0,10,10,2,Double
XAUUSD,2026-01-29 13:20:00+08:00,2026-01-29 13:25:00+08:00,bear,1182.0,6,6,3,Double
XAUUSD,2026-01-29 13:27:00+08:00,2026-01-29 13:34:00+08:00,bear,1360.0,8,8,3,Double
XAUUSD,2026-01-29 13:35:00+08:00,2026-01-29 13:38:00+08:00,bull,1784.0,4,4,3,Double
XAUUSD,2026-01-29 13:39:00+08:00,2026-01-29 13:49:00+08:00,bull,1921.0,11,11,3,Double
XAUUSD,2026-01-29 13:50:00+08:00,2026-01-29 13:53:00+08:00,bear,972.0,4,4,3,Double
XAUUSD,2026-01-29 13:54:00+08:00,2026-01-29 14:02:00+08:00,bull,1466.0,9,9,3,Double
XAUUSD,2026-01-29 14:03:00+08:00,2026-01-29 14:10:00+08:00,bull,1415.0,8,8,3,Double
XAUUSD,2026-01-29 14:11:00+08:00,2026-01-29 14:14:00+08:00,bull,1101.0,4,4,3,Double
XAUUSD,2026-01-29 14:15:00+08:00,2026-01-29 14:20:00+08:00,bull,989.0,6,6,0,None
XAUUSD,2026-01-29 14:21:00+08:00,2026-01-29 14:35:00+08:00,bull,2531.0,15,15,2,Double
XAUUSD,2026-01-29 14:36:00+08:00,2026-01-29 14:41:00+08:00,bull,1138.0,6,6,3,Double
XAUUSD,2026-01-29 14:42:00+08:00,2026-01-29 14:46:00+08:00,bull,964.0,5,5,3,Double
XAUUSD,2026-01-29 14:47:00+08:00,2026-01-29 14:53:00+08:00,bear,927.0,7,7,3,Double
XAUUSD,2026-01-29 14:54:00+08:00,2026-01-29 14:59:00+08:00,bull,930.0,6,6,3,Double
XAUUSD,2026-01-29 15:00:00+08:00,2026-01-29 15:04:00+08:00,bear,910.0,5,5,3,Double
XAUUSD,2026-01-29 15:05:00+08:00,2026-01-29 15:09:00+08:00,bear,691.0,5,5,3,Double
XAUUSD,2026-01-29 15:10:00+08:00,2026-01-29 15:14:00+08:00,bear,1014.0,5,5,3,Double
XAUUSD,2026-01-29 15:16:00+08:00,2026-01-29 15:26:00+08:00,bear,4424.0,11,11,3,Double
XAUUSD,2026-01-29 15:27:00+08:00,2026-01-29 15:36:00+08:00,bull,2528.0,10,10,3,Double
XAUUSD,2026-01-29 15:37:00+08:00,2026-01-29 15:44:00+08:00,bear,1163.0,8,8,3,Double
XAUUSD,2026-01-29 15:45:00+08:00,2026-01-29 15:51:00+08:00,bull,1447.0,7,7,3,Double
XAUUSD,2026-01-29 15:52:00+08:00,2026-01-29 15:56:00+08:00,bear,987.0,5,5,3,Double
XAUUSD,2026-01-29 15:57:00+08:00,2026-01-29 16:01:00+08:00,bear,1443.0,5,5,3,Double
XAUUSD,2026-01-29 16:02:00+08:00,2026-01-29 16:07:00+08:00,bull,1703.0,6,6,1,Single
XAUUSD,2026-01-29 16:08:00+08:00,2026-01-29 16:13:00+08:00,bear,941.0,6,6,3,Double
XAUUSD,2026-01-29 16:14:00+08:00,2026-01-29 16:21:00+08:00,bear,1785.0,8,8,3,Double
XAUUSD,2026-01-29 16:22:00+08:00,2026-01-29 16:27:00+08:00,bull,1176.0,6,6,2,Double
XAUUSD,2026-01-29 16:28:00+08:00,2026-01-29 16:37:00+08:00,bear,1112.0,10,10,2,Double
XAUUSD,2026-01-29 16:38:00+08:00,2026-01-29 16:46:00+08:00,bull,2012.0,9,9,3,Double
XAUUSD,2026-01-29 16:47:00+08:00,2026-01-29 16:51:00+08:00,bear,1463.0,5,5,3,Double
XAUUSD,2026-01-29 16:52:00+08:00,2026-01-29 16:55:00+08:00,bull,1091.0,4,4,3,Double
XAUUSD,2026-01-29 16:56:00+08:00,2026-01-29 17:00:00+08:00,bear,1420.0,5,5,3,Double
XAUUSD,2026-01-29 17:01:00+08:00,2026-01-29 17:05:00+08:00,bull,1038.0,5,5,1,Single
XAUUSD,2026-01-29 17:06:00+08:00,2026-01-29 17:13:00+08:00,bull,1035.0,8,8,3,Double
XAUUSD,2026-01-29 17:14:00+08:00,2026-01-29 17:24:00+08:00,bear,1766.0,11,11,3,Double
XAUUSD,2026-01-29 17:25:00+08:00,2026-01-29 17:31:00+08:00,bear,2023.0,7,7,3,Double
XAUUSD,2026-01-29 17:32:00+08:00,2026-01-29 17:35:00+08:00,bear,912.0,4,4,3,Double
XAUUSD,2026-01-29 17:36:00+08:00,2026-01-29 17:45:00+08:00,bear,1506.0,10,10,3,Double
XAUUSD,2026-01-29 17:46:00+08:00,2026-01-29 17:53:00+08:00,bear,582.0,8,8,2,Double
XAUUSD,2026-01-29 17:55:00+08:00,2026-01-29 18:01:00+08:00,bull,1084.0,7,7,3,Double
XAUUSD,2026-01-29 18:02:00+08:00,2026-01-29 18:07:00+08:00,bear,2817.0,6,6,3,Double
XAUUSD,2026-01-29 18:08:00+08:00,2026-01-29 18:14:00+08:00,bear,1361.0,7,7,3,Double
XAUUSD,2026-01-29 18:15:00+08:00,2026-01-29 18:18:00+08:00,bull,1654.0,4,4,3,Double
XAUUSD,2026-01-29 18:19:00+08:00,2026-01-29 18:25:00+08:00,bull,1860.0,7,7,2,Double
XAUUSD,2026-01-29 18:26:00+08:00,2026-01-29 18:33:00+08:00,bear,1375.0,8,8,3,Double
XAUUSD,2026-01-29 18:34:00+08:00,2026-01-29 18:40:00+08:00,bear,1779.0,7,7,3,Double
XAUUSD,2026-01-29 18:41:00+08:00,2026-01-29 18:48:00+08:00,bear,4317.0,8,8,3,Double
XAUUSD,2026-01-29 18:49:00+08:00,2026-01-29 18:54:00+08:00,bull,1490.0,6,6,0,None
XAUUSD,2026-01-29 18:55:00+08:00,2026-01-29 19:04:00+08:00,bear,1906.0,10,10,3,Double
XAUUSD,2026-01-29 19:06:00+08:00,2026-01-29 19:12:00+08:00,bull,1302.0,7,7,3,Double
XAUUSD,2026-01-29 19:13:00+08:00,2026-01-29 19:20:00+08:00,bull,967.0,8,8,3,Double
XAUUSD,2026-01-29 19:21:00+08:00,2026-01-29 19:27:00+08:00,bull,1706.0,7,7,3,Double
XAUUSD,2026-01-29 19:28:00+08:00,2026-01-29 19:33:00+08:00,bear,572.0,6,6,3,Double
XAUUSD,2026-01-29 19:34:00+08:00,2026-01-29 19:43:00+08:00,bull,1335.0,10,10,3,Double
XAUUSD,2026-01-29 19:44:00+08:00,2026-01-29 19:53:00+08:00,bear,1246.0,10,10,3,Double
XAUUSD,2026-01-29 19:54:00+08:00,2026-01-29 19:59:00+08:00,bear,525.0,6,6,1,Single
XAUUSD,2026-01-29 20:00:00+08:00,2026-01-29 20:04:00+08:00,bear,611.0,5,5,1,Single
XAUUSD,2026-01-29 20:06:00+08:00,2026-01-29 20:10:00+08:00,bear,1076.0,5,5,3,Double
XAUUSD,2026-01-29 20:11:00+08:00,2026-01-29 20:18:00+08:00,bull,1384.0,8,8,3,Double
